Name,Address,City,Zip,Date,Score,Type
"KOREAN KITCHEN HIBACHI","135 JAPANESE VILLAGE PLZ","LOS ANGELES","90012","06/12/2013","97","Restaurant"
"OIWAKE RESTAURANT","122 JAPANESE VILLAGE PLZ","LOS ANGELES","90012","06/12/2013","94","Restaurant"
"MR. NOODLE","936 BROXTON AVE","LOS ANGELES","90024","06/12/2013","93","Restaurant"
"TLT FOOD","1116 WESTWOOD BLVD","LOS ANGELES","90024","06/12/2013","90","Restaurant"
"DRESDEN ROOM","1760 N VERMONT AVE","LOS ANGELES","90027","06/12/2013","95","Restaurant"
"PUPUSERIA & REST. AMAPULAP","5901 S NORMANDIE AVE","LOS ANGELES","90044","06/12/2013","90","Restaurant"
"HOUSE OF EDAW","9000 S VERMONT AVE","LOS ANGELES","90044","06/12/2013","91","Restaurant"
"ASLAN CATERING","2750 COLORADO BLVD #4","LOS ANGELES","90041","06/12/2013","97","Restaurant"
"HONG KONG EXPRESS","1377 W REDONDO BEACH BLVD","GARDENA","90247","06/12/2013","90","Restaurant"
"TAQUERIA LA MICHOACANA","4949 W SLAUSON AVE A-2","LOS ANGELES","90056","06/12/2013","80","Restaurant"
"MC DONALD'S","7123 S CRENSHAW BLVD","LOS ANGELES","90043","06/12/2013","94","Restaurant"
"STARBUCK'S COFFEE #5277","6333 W 3RD ST #112","LOS ANGELES","90036","06/12/2013","100","Restaurant"
"PIZZA HUT #26157","1000 N LA BREA AVE","INGLEWOOD","90302","06/12/2013","91","Restaurant"
"FRED 62","1850 N VERMONT AVE","LOS ANGELES","90027","06/12/2013","97","Restaurant"
"CAFE AROMA","7801 MELROSE AVE","LOS ANGELES","90046","06/12/2013","94","Restaurant"
"ALL SAINTS' PARISH","504 N CAMDEN DR","BEVERLY HILLS","90212","06/12/2013","96","Restaurant"
"THE PALACE","2112 N HILLHURST AVE","LOS ANGELES","90027","06/12/2013","91","Restaurant"
"CUT/SIDE BAR","9500 WILSHIRE BLVD","BEVERLY HILLS","90212","06/12/2013","90","Restaurant"
"FRED DOWN  HOME  BURGER","2524 W SLAUSON AVE","LOS ANGELES","90043","06/12/2013","93","Restaurant"
"REG. BEV. WIL. MAIN KITCHEN","9500 WILSHIRE BLVD","BEVERLY HILLS","90212","06/12/2013","94","Restaurant"
"CILANTRO FRESH MEXICAN GRILL","1940 CENTURY PARK EAST","LOS ANGELES","90067","06/12/2013","95","Restaurant"
"STORIES","1716 W SUNSET BLVD","LOS ANGELES","90026","06/12/2013","90","Restaurant"
"AMG DON FELIX RESTAURANT","305 N VIRGIL AVE","LOS ANGELES","90004","06/12/2013","93","Restaurant"
"STK/BAGATELLE","755 N LA CIENEGA BLVD","LOS ANGELES","90069","06/12/2013","90","Restaurant"
"THE COFFEE BEAN AND TEA LEAF","7235 BEVERLY BLVD","LOS ANGELES","90036","06/12/2013","97","Restaurant"
"CRYSTAL  RESTAURANT","7901 SANTA MONICA BLVD","WEST HOLLYWOOD","90046","06/12/2013","94","Restaurant"
"SUBWAY #24926","3903 W ROSECRANS AVE","HAWTHORNE","90250","06/12/2013","95","Restaurant"
"EL FANDANGO RESTAURANT","4233 W CENTURY BLVD 7","INGLEWOOD","90304","06/12/2013","90","Restaurant"
"THE HUDSON","1114 N CRESCENT HEIGHTS BLVD","WEST HOLLYWOOD","90046","06/12/2013","94","Restaurant"
"CHILE VERDE","3382 W CENTURY BLVD","INGLEWOOD","90303","06/12/2013","90","Restaurant"
"O-TOP THAI BBQ","16822 S VERMONT AVE","GARDENA","90247","06/12/2013","94","Restaurant"
"SUBWAY SANDWICHES # 3435","2253 W ROSECRANS AVE","GARDENA","90249","06/12/2013","99","Restaurant"
"FIVE GUYS BURGER","1061 BROXTON AVE","LOS ANGELES","90024","06/12/2013","94","Restaurant"
"ORENO YAKINIKU","123 ASTRONAUT ES ONIZUKA 308","LOS ANGELES","90012","06/12/2013","97","Restaurant"
"RED HILL","1325 ECHO PARK AVE","LOS ANGELES","90026","06/12/2013","91","Restaurant"
"ALBERTSON'S DELI #6103","12630 S HAWTHORNE BLVD","HAWTHORNE","90250","06/12/2013","90","Restaurant"
"LAWRY'S - THE PRIME RIB","100 N LA CIENEGA BLVD","BEVERLY HILLS","90211","06/12/2013","93","Restaurant"
"ALBERTSON'S BAKERY #6103","12630 S HAWTHORNE BLVD","HAWTHORNE","90250","06/12/2013","94","Restaurant"
"AT HOME KITCHEN","16814 S VERMONT AVE","GARDENA","90247","06/12/2013","91","Restaurant"
"FOOD 4 LESS BAKERY & DELI #364","3200 W CENTURY BLVD","INGLEWOOD","90303","06/12/2013","92","Restaurant"
"HOUSE OF WINGS","2317 D ST","LA VERNE","91750","06/12/2013","94","Restaurant"
"CARL'S JR.","2400 S AZUSA AVE","WEST COVINA","91792","06/12/2013","98","Restaurant"
"TOMMY'S BURGER","860 W FOOTHILL BLVD","GLENDORA","91740","06/12/2013","93","Restaurant"
"THE FLAME BROILER","11811 E ARTESIA BLVD","ARTESIA","90701","06/12/2013","90","Restaurant"
"PIZZA MAN #50","8720 E IMPERIAL HWY","DOWNEY","90242","06/12/2013","90","Restaurant"
"LOVE LETTER CHICKEN","12238 E ARTESIA BLVD","ARTESIA","90701","06/12/2013","85","Restaurant"
"STOX RESTAURANT","9518 E IMPERIAL HWY","DOWNEY","90242","06/12/2013","90","Restaurant"
"JACK IN THE BOX","2548 S AZUSA AVE","WEST COVINA","91792","06/12/2013","98","Restaurant"
"BAJA RANCH S-MKT DELI / BAKERY","425 S CITRUS AVE","COVINA","91722","06/12/2013","86","Restaurant"
"GARDEN BUFFET & SEAFOOD","11746 E SOUTH ST","ARTESIA","90701","06/12/2013","90","Restaurant"
"ORIGINAL THAI","11861 E ARTESIA BLVD","ARTESIA","90701","06/12/2013","90","Restaurant"
"LUCKY GUYS #2","12801 BELLFLOWER BLVD","DOWNEY","90242","06/12/2013","96","Restaurant"
"CHILI'S GRILL & BAR #351","1912 FOOTHILL BLVD","LA VERNE","91750","06/12/2013","95","Restaurant"
"THE DONUT CENTER","4182 N WOODRUFF AVE","LAKEWOOD","90713","06/12/2013","90","Restaurant"
"BELLA NAPOLI TRATTORIA","505 N GRAND AVE #E","WALNUT","91789","06/12/2013","72","Restaurant"
"HAWAIIAN GARDENS CASINO","11871 E CARSON ST","HAWAIIAN GARDENS","90716","06/12/2013","96","Restaurant"
"HAIGE STAR BOULEVARD","18438 E COLIMA RD #105","ROWLAND HEIGHTS","91748","06/12/2013","80","Restaurant"
"DUGA TOFU HOUSE","18438 E COLIMA RD #14","ROWLAND HEIGHTS","91748","06/12/2013","92","Restaurant"
"HOT DOG POPS","808 N DIAMOND BAR BLVD","DIAMOND BAR","91765","06/12/2013","92","Restaurant"
"TOKYO BUFFET","11263 E 183RD ST","CERRITOS","90703","06/12/2013","82","Restaurant"
"RANCH HOUSE CAFE & GRILL #002","21130 GOLDEN SPRINGS DR","DIAMOND BAR","91765","06/12/2013","96","Restaurant"
"MAMA  PETRILLOS","2123 FOOTHILL BLVD D","LA VERNE","91750","06/12/2013","96","Restaurant"
"ALCOVE CAFE & BAKERY","1929 N HILLHURST AVE","LOS ANGELES","90027","06/12/2013","97","Restaurant"
"HAM HUNG MEON OK","14816 S BEACH BLVD","LA MIRADA","90638","06/12/2013","80","Restaurant"
"HONDA YA CITY OF INDUSTRY","17200 RAILROAD ST","CITY OF INDUSTRY","91748","06/12/2013","91","Restaurant"
"COUNTRY CHICKEN","994 E ALOSTA AVE","AZUSA","91702","06/12/2013","98","Restaurant"
"HONG KONG EXPRESS","1125 E ALOSTA AVE","AZUSA","91702","06/12/2013","94","Restaurant"
"EL TORITO RESTAURANT","11167 E 183RD ST","CERRITOS","90703","06/12/2013","90","Restaurant"
"CHINESE TASTE","932 E ALOSTA AVE","AZUSA","91702","06/12/2013","93","Restaurant"
"SUBWAY SANDWICHES AND SALADS","4210 WOODRUFF AVE","LAKEWOOD","90713","06/12/2013","97","Restaurant"
"LONG CHAO SHOU RESTAURANT","18438 E COLIMA RD #106","ROWLAND HEIGHTS","91748","06/12/2013","86","Restaurant"
"ALPHA OMEGA","107 S CITRUS AVE","COVINA","91723","06/12/2013","94","Restaurant"
"GINZAYA JAPANESE RESTAURANT","4218 WOODRUFF AVE","LAKEWOOD","90713","06/12/2013","91","Restaurant"
"NEW MILENIO PIZZA","1101 E COMPTON BLVD A","COMPTON","90221","06/12/2013","94","Restaurant"
"KENTUCKY FRIED CHICKEN 123","12044 ROSCOE BLVD","NORTH HOLLYWOOD","91605","06/12/2013","91","Restaurant"
"CHINESE FOOD EXPRESS","12003 S AVALON BLVD #B","LOS ANGELES","90061","06/12/2013","93","Restaurant"
"(RESTAURANT) RUBEN'S BAKERY","2701 N SANTA FE AVE","COMPTON","90222","06/12/2013","95","Restaurant"
"CHURCH'S CHICKEN","810 W I AVE","LANCASTER","93534","06/12/2013","97","Restaurant"
"SUBWAY SANDWICHES & SALADS","3628 E MARTIN LUTHER KING BLVD","LYNWOOD","90262","06/12/2013","99","Restaurant"
"RENAISSANCE EATERY","14740 BEACH BLVD","LA MIRADA","90638","06/12/2013","74","Restaurant"
"TACO URAPAN","604 E EL SEGUNDO BLVD","COMPTON","90222","06/12/2013","92","Restaurant"
"CARL'S JR # 696","12940 IMPERIAL HWY","SANTA FE SPRINGS","90670","06/12/2013","91","Restaurant"
"TAM'S BURGERS #14","5837 S FIGUEROA ST","LOS ANGELES","90003","06/12/2013","96","Restaurant"
"TARGET FOOD SERVICE","15614 WHITTWOOD LN","WHITTIER","90603","06/12/2013","97","Restaurant"
"TAM'S BURGERS  #23","303 N ALAMEDA ST","COMPTON","90220","06/12/2013","91","Restaurant"
"APPUS CAFE","3816 WOODRUFF AVE 100B","LONG BEACH","90808","06/12/2013","92","Restaurant"
"MARISCOS EL PARIENTE","11125 S MAIN ST","LOS ANGELES","90061","06/12/2013","96","Restaurant"
"BAMBOO VILLAGE","12910 MAGNOLIA BLVD #E","SHERMAN OAKS","91423","06/12/2013","92","Restaurant"
"CHRONIC TACOS LAKEWOOD","4212 WOODRUFF AVE","LAKEWOOD","90713","06/12/2013","95","Restaurant"
"LONGHORN INN","1147 E I AVE","LANCASTER","93535","06/12/2013","97","Restaurant"
"SABROSITAS  PUPUSAS","7950 LAUREL CANYON BLVD F","NORTH HOLLYWOOD","91605","06/12/2013","92","Restaurant"
"PATS DELI","12123 RIVERSIDE DR","NORTH HOLLYWOOD","91607","06/12/2013","94","Restaurant"
"FOOD  AVENUE    EXPRESS","5711 SEPULVEDA BLVD","VAN NUYS","91411","06/12/2013","97","Restaurant"
"BOBA YA","14748 BEACH BLVD","LA MIRADA","90638","06/12/2013","91","Restaurant"
"FANTASTIC DONUTS & CROISSANTS","12110 VICTORY BLVD","NORTH HOLLYWOOD","91606","06/12/2013","97","Restaurant"
"GOOD CHINA","12102 1/2 VICTORY BLVD","NORTH HOLLYWOOD","91606","06/12/2013","95","Restaurant"
"VALLEY HYE ARMENIAN BAKERY","14849 BURBANK BLVD","VAN NUYS","91411","06/12/2013","93","Restaurant"
"BROTHER'S BELIZEAN RESTAURANT","11313 S AVALON BLVD","LOS ANGELES","90061","06/12/2013","95","Restaurant"
"EL INDIO AZTECA","16147 DEVONSHIRE ST","GRANADA HILLS","91344","06/12/2013","93","Restaurant"
"LAS LOMAS RESTAURANT","15677 ROXFORD ST","SYLMAR","91342","06/12/2013","95","Restaurant"
"JAQKIS CAKE CREATIONS","12032 BURBANK BLVD","NORTH HOLLYWOOD","91607","06/12/2013","98","Restaurant"
"WIN'S DONUT HOUSE","132 E AVENUE J","LANCASTER","93535","06/12/2013","96","Restaurant"
"MONSTER THAI CUISINE LLC","12920 RIVERSIDE DR","SHERMAN OAKS","91423","06/12/2013","94","Restaurant"
"CHINA GATE","11814 S WILMINGTON AVE","LOS ANGELES","90059","06/12/2013","94","Restaurant"
"LULU'S BAKERY #3","4201 TWEEDY BLVD","SOUTH GATE","90280","06/12/2013","97","Restaurant"
"LA FAVORITA","4149 TWEEDY BLVD #C","SOUTH GATE","90280","06/12/2013","91","Restaurant"
"TACOS EL CANELO #2","11555 GLENOAKS BLVD","PACOIMA","91331","06/12/2013","92","Restaurant"
"TONY'S LIQUOR AND DELI","13368 VENTURA BLVD","SHERMAN OAKS","91423","06/12/2013","91","Restaurant"
"RANCH HOUSE BBQ & GRILL","6157 VAN NUYS BLVD","VAN NUYS","91401","06/12/2013","90","Restaurant"
"YOGURT DELITE","12910 MAGNOLIA BLVD #J","SHERMAN OAKS","91423","06/12/2013","95","Restaurant"
"MCDONALDS #27391","9860 SEPULVEDA BLVD","NORTH HILLS","91343","06/12/2013","100","Restaurant"
"DEL TACO #678","6718 LAUREL CANYON BLVD","NORTH HOLLYWOOD","91605","06/12/2013","96","Restaurant"
"ELEPHANT BAR RESTAURANT","4634 CANDLEWOOD ST","LAKEWOOD","90712","06/12/2013","90","Restaurant"
"RESTAURANTE SALVA EL CAFETAL#2","6429 VAN NUYS BLVD","VAN NUYS","91401","06/12/2013","93","Restaurant"
"BETO'S BAKERY","3464 E MARTIN LUTHER KING BLVD","LYNWOOD","90262","06/12/2013","91","Restaurant"
"ESPRESSO TIME","4566 VAN NUYS BLVD","SHERMAN OAKS","91403","06/12/2013","80","Restaurant"
"THE HORSELESS CARRIAGE","15505 ROSCOE BLVD","NORTH HILLS","91343","06/12/2013","90","Restaurant"
"LOS RUIZENORES","13566 GLENOAKS BLVD","SYLMAR","91342","06/12/2013","90","Restaurant"
"LEAFY GREENS SALAD BAR","308 MANHATTAN BEACH BLVD","MANHATTAN BEACH","90266","06/12/2013","92","Restaurant"
"LEMONADE RESTAURANT","451 MANHATTAN BEACH BLVD","MANHATTAN BEACH","90266","06/12/2013","93","Restaurant"
"PACIFIC DINING CAR","2700 WILSHIRE BLVD","SANTA MONICA","90404","06/12/2013","91","Restaurant"
"LA CAPILLA","1332 SARTORI AVE","TORRANCE","90501","06/12/2013","90","Restaurant"
"DOMENICKS PIZZA HOUSE","24209 S AVALON BLVD","CARSON","90745","06/12/2013","93","Restaurant"
"EL ZOCALO","900 W ANAHEIM ST","WILMINGTON","90744","06/12/2013","90","Restaurant"
"BOHEMIAN BEACH CAFE","1 MANHATTAN BEACH BLVD","MANHATTAN BEACH","90266","06/12/2013","96","Restaurant"
"DOMINO'S PIZZA","1007 E AVENUE J","LANCASTER","93535","06/12/2013","99","Restaurant"
"NAKA SUSHI","1414 S PACIFIC COAST HWY","REDONDO BEACH","90277","06/12/2013","100","Restaurant"
"SNUG HARBOR","2323 WILSHIRE BLVD","SANTA MONICA","90403","06/12/2013","97","Restaurant"
"HUDSON HOUSE","514 N PACIFIC COAST HWY","REDONDO BEACH","90277","06/12/2013","90","Restaurant"
"LAS ROCAS BAR & GRILL","27963 SLOAN CYN RD","CASTAIC","91384","06/12/2013","92","Restaurant"
"ALBERTSON'S BAKERY","23850 COPPER HILL DR","VALENCIA","91354","06/12/2013","100","Restaurant"
"BECKER'S BAKERY","1025 MANHATTAN AVE","MANHATTAN BEACH","90266","06/12/2013","90","Restaurant"
"THAI TALAY","8411 LINCOLN BLVD","LOS ANGELES","90045","06/12/2013","90","Restaurant"
"EAT THIS SANDWICH & OVEN FRESH","800 S PACIFIC COAST HWY #7","REDONDO BEACH","90277","06/12/2013","97","Restaurant"
"J.J. CAFE","2900 SEPULVEDA BLVD","TORRANCE","90501","06/12/2013","84","Restaurant"
"LAS PALMAS","23909 S AVALON BLVD","CARSON","90745","06/12/2013","97","Restaurant"
"TRUSELA'S","28158 WESTERN AVE","SAN PEDRO","90732","06/12/2013","91","Restaurant"
"SUBWAY","39904 W 10TH ST #B","PALMDALE","93551","06/12/2013","95","Restaurant"
"SPIRES REST. TORR. #20","1750 SEPULVEDA BLVD","TORRANCE","90501","06/12/2013","93","Restaurant"
"ENCHILADA HOUSE","133 N BANDINI ST","SAN PEDRO","90732","06/12/2013","91","Restaurant"
"HORIZONS","21333 HAWTHORNE BLVD","TORRANCE","90503","06/12/2013","99","Restaurant"
"CAPTAIN  TONYS","135 E AVENUE J","LANCASTER","93535","06/12/2013","96","Restaurant"
"COLUMBIA BURGERS","17601 S CENTRAL AVE","CARSON","90746","06/12/2013","94","Restaurant"
"CINCO","7241 W MANCHESTER AVE","LOS ANGELES","90045","06/12/2013","98","Restaurant"
"JAPONICA DINING","1304 1/2 S PACIFIC COAST HWY","REDONDO BEACH","90277","06/12/2013","92","Restaurant"
"ZAMORA BROTHERS","4771 E CESAR E. CHAVEZ AVE","LOS ANGELES","90022","06/12/2013","90","Restaurant"
"SURF CITY SQUEEZE","3650 MARTIN LUTHER KING BLVD 15","LOS ANGELES","90008","06/12/2013","99","Restaurant"
"A-1 SNACK","305 E 8TH ST #103","LOS ANGELES","90014","06/12/2013","96","Restaurant"
"SOUTHERN CALIFORNIA GAS CO","9240 E FIRESTONE BLVD","DOWNEY","90241","06/12/2013","96","Restaurant"
"LA CHIQUITA BAKERY","270 E MARTIN LUTHER KING BLVD","LOS ANGELES","90011","06/12/2013","97","Restaurant"
"HOMETOWN BUFFET  #767","6257 ATLANTIC AVE","BELL","90201","06/12/2013","90","Restaurant"
"WABA GRILL","508 E WASHINGTON BLVD","LOS ANGELES","90014","06/12/2013","91","Restaurant"
"CARAMBAS","9056 WHITTIER BLVD","PICO RIVERA","90660","06/12/2013","97","Restaurant"
"LEE'S GARDEN","1428 S ATLANTIC BLVD","ALHAMBRA","91803","06/12/2013","90","Restaurant"
"NABEEYA  FUSION CAFE","766 SANTEE ST","LOS ANGELES","90014","06/12/2013","94","Restaurant"
"AMF BEVERLY BOWL SNACK BAR","1201 W BEVERLY BLVD","MONTEBELLO","90640","06/12/2013","90","Restaurant"
"PIZZA HUT   #024906","5213 WHITTIER BLVD","LOS ANGELES","90022","06/12/2013","95","Restaurant"
"CHINESE FOOD EXPRESS","1207 W WHITTIER BLVD","MONTEBELLO","90640","06/12/2013","92","Restaurant"
"TACO BELL","1485 N MONTEBELLO BLVD","MONTEBELLO","90640","06/12/2013","92","Restaurant"
"CALIFORNIA KITCHEN / C. CASINO","6131 E TELEGRAPH RD","COMMERCE","90040","06/12/2013","99","Restaurant"
"SONORA BAKERY","4484 WHITTIER BLVD","LOS ANGELES","90022","06/12/2013","90","Restaurant"
"LA FLOR DE SAHUAYO","4601 E OLYMPIC BLVD","LOS ANGELES","90022","06/12/2013","82","Restaurant"
"CARL'S JR. RESTAURANT  #7492","1471 N MONTEBELLO BLVD","MONTEBELLO","90640","06/12/2013","98","Restaurant"
"YOSHINOYA BEEF BOWL  #1178","1479 N MONTEBELLO BLVD","MONTEBELLO","90640","06/12/2013","99","Restaurant"
"CHURCH'S FRIED CHICKEN","261 E VERNON AVE","LOS ANGELES","90011","06/12/2013","97","Restaurant"
"KING TACO","645 E WASHINGTON BLVD","LOS ANGELES","90021","06/12/2013","98","Restaurant"
"COLDSTONE","500 N ATLANTIC BLVD #168","MONTEREY PARK","91754","06/12/2013","97","Restaurant"
"TOTO'S RESTAURANT","208 E 8TH ST","LOS ANGELES","90014","06/12/2013","95","Restaurant"
"KRIKORIAN THEATRES","8540 WHITTIER BLVD","PICO RIVERA","90660","06/12/2013","98","Restaurant"
"RANCHO ZAPOTILLO (TORT. MKT)","3003 WABASH AVE","LOS ANGELES","90063","06/12/2013","93","Restaurant"
"CHINESE FOOD BOWL","524 E WASHINGTON BLVD","LOS ANGELES","90015","06/12/2013","90","Restaurant"
"ASIAN FASTFOOD AND GROCERY","1260 W 6TH ST","LOS ANGELES","90017","06/12/2013","96","Restaurant"
"ARAMARK GALAXY RESTAURANT","1201 S FIGUEROA ST","LOS ANGELES","90015","06/12/2013","99","Restaurant"
"BEACHWOOD CAFE","2695 BEACHWOOD DR","LOS ANGELES","90068","06/12/2013","91","Restaurant"
"MAGGIE'S 2 FOR 1 PIZZA","3480 E CESAR E. CHAVEZ AVE","LOS ANGELES","90063","06/12/2013","95","Restaurant"
"GRAM & PAPA'S","227 E 9TH ST","LOS ANGELES","90015","06/12/2013","95","Restaurant"
"CALIF.CMR CASINO-MAIN KITCHEN","6131 E TELEGRAPH RD","COMMERCE","90040","06/12/2013","99","Restaurant"
"KEIKO GRILL","3650 W MARTIN LUTHER KING 132","LOS ANGELES","90008","06/12/2013","94","Restaurant"
"XOCHIL BAKERY","3017 WABASH AVE","LOS ANGELES","90063","06/12/2013","93","Restaurant"
"ARAMARK COMPASS CAFE","1201 S FIGUEROA ST","LOS ANGELES","90015","06/12/2013","92","Restaurant"
"TACO BELL #134","1113 E COLORADO ST","GLENDALE","91205","06/12/2013","98","Restaurant"
"ARAMARK CONCESSION #5","1201 S FIGUEROA ST","LOS ANGELES","90015","06/12/2013","99","Restaurant"
"BELLY'S WEST","1156 W VALLEY BLVD","ALHAMBRA","91803","06/12/2013","94","Restaurant"
"SODEXHO","12254 BELLFLOWER BLVD","DOWNEY","90242","06/12/2013","99","Restaurant"
"GOLDEN CITY BBQ RESTAURANT","108 N GARFIELD AVE","MONTEREY PARK","91754","06/12/2013","78","Restaurant"
"BIG FISH BAR & GRILL","5230 SAN FERNANDO RD","GLENDALE","91203","06/12/2013","92","Restaurant"
"LORENA KABOB HOUSE","1547 GRANDE VISTA AVE","LOS ANGELES","90023","06/12/2013","92","Restaurant"
"ARAMARK CONSESSION #3","1201 S FIGUEROA ST","LOS ANGELES","90015","06/12/2013","100","Restaurant"
"EL TROPICAL SNACK","2675 E 12TH ST","LOS ANGELES","90023","06/12/2013","81","Restaurant"
"PANDA  KING","1027 W MARTIN LUTHER KING BLVD","LOS ANGELES","90037","06/12/2013","90","Restaurant"
"LAS TRANCAS RESTAURANT","5351 ATLANTIC BLVD","MAYWOOD","90270","06/12/2013","100","Restaurant"
"DIANA'S BAKERY","3868 E CESAR E. CHAVEZ AVE","LOS ANGELES","90063","06/12/2013","96","Restaurant"
"LOS NORTENOS","3207 E PICO BLVD","LOS ANGELES","90023","06/12/2013","91","Restaurant"
"ARAMARK -MAIN KITCHEN","1201 S FIGUEROA  ST.","LOS ANGELES","90015","06/12/2013","99","Restaurant"
"CHINESE RESTAURANT","3991 S WESTERN AVE #2","LOS ANGELES","90062","06/12/2013","86","Restaurant"
"BOB'S FREEZE","5144 E BEVERLY BLVD","LOS ANGELES","90022","06/12/2013","94","Restaurant"
"TRACEY'S RESTAURANT","3810 S WESTERN AVE","LOS ANGELES","90062","06/12/2013","92","Restaurant"
"RESTAURANT COSTA AZUL","2001 N BUENA VISTA ST","BURBANK","91504","06/12/2013","92","Restaurant"
"THE HABIT BURGER GRILL","3610 ROSEMEAD BLVD","ROSEMEAD","91770","06/12/2013","97","Restaurant"
"REG. BEV. WILSHIRE THE BLVD","9500 WILSHIRE BLVD","BEVERLY HILLS","90212","06/12/2013","85","Restaurant"
"REG. BEV. WILSHIRE POOL BAR","9500 WILSHIRE BLVD","BEVERLY HILLS","90212","06/12/2013","96","Restaurant"
"PATAKAN THAI RESTAURANT","711 FAIR OAKS AVE M","SOUTH PASADENA","91030","06/12/2013","95","Restaurant"
"SUPERIORSUPERWAREHOUSE(BAKERY)","6140 LANKERSHIM BLVD","NORTH HOLLYWOOD","91606","06/12/2013","97","Restaurant"
"CASA NUOVA","8759 GLENOAKS BLVD","SUN VALLEY","91352","06/12/2013","92","Restaurant"
"MANDO'S  RESTAURANT","6483 N FIGUEROA ST","LOS ANGELES","90042","06/12/2013","93","Restaurant"
"BRAND TERRACE RESTAURANT","423 N BRAND BLVD","GLENDALE","91203","06/12/2013","98","Restaurant"
"PENELOPE'S CAFE","1029 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","06/12/2013","98","Restaurant"
"RED RIBBON BAKESHOP","914 E COLORADO ST","GLENDALE","91205","06/12/2013","94","Restaurant"
"THE COFFEE CUP","535 N BRAND BLVD 100","GLENDALE","91203","06/12/2013","94","Restaurant"
"FOSTER'S DONUTS #25","1147 E COLORADO ST","GLENDALE","91205","06/12/2013","92","Restaurant"
"THE  DIME","442 N FAIRFAX AVE","LOS ANGELES","90036","06/12/2013","97","Restaurant"
"GAZEBO GRILL-COURTYARD MARRIOT","2100 EMPIRE AVE","BURBANK","91504","06/12/2013","97","Restaurant"
"PHO HAI VIETNAMESE","9663 E GARVEY AVE 128","SOUTH EL MONTE","91733","06/12/2013","90","Restaurant"
"LUCCHESE DELI & CATERING","8479 GLENOAKS BLVD","SUN VALLEY","91352","06/12/2013","98","Restaurant"
"LOTERIA GRILL STUDIO CITY","12050 VENTURA BLVD A202","STUDIO CITY","91604","06/12/2013","91","Restaurant"
"PANDA EXPRESS #726","700 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","06/12/2013","99","Restaurant"
"THE OLD TIME DRIVE-IN","8742 GLENOAKS BLVD","SUN VALLEY","91352","06/12/2013","95","Restaurant"
"HILL ST. CAFE BURBANK","3301 N GLENOAKS BLVD","BURBANK","91504","06/12/2013","90","Restaurant"
"THE PLATE CALIFORNIA BISTRO","505 N BRAND BLVD","GLENDALE","91203","06/12/2013","92","Restaurant"
"RALPH'S DELI #55","521 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","06/12/2013","98","Restaurant"
"BEVERLY CINEMA (RESTR.,NIGHT)","7165 BEVERLY BLVD","LOS ANGELES","90036","06/12/2013","99","Restaurant"
"SUPERIORSUPERWAREHOUSE(TORTILL","6140 LANKERSHIM BLVD","NORTH HOLLYWOOD","91606","06/12/2013","99","Restaurant"
"STUDIO YOGURT","12050 VENTURA BLVD C105","STUDIO CITY","91604","06/12/2013","90","Restaurant"
"YUM YUM DONUTS #9520","6001 LANKERSHIM BLVD","NORTH HOLLYWOOD","91606","06/12/2013","93","Restaurant"
"TASTY DUCK RESTAURANT","1039 E VALLEY BLVD B102","SAN GABRIEL","91776","06/12/2013","92","Restaurant"
"YUNG HO CITY RESTAURANT","1045 E VALLEY BLVD A105","SAN GABRIEL","91776","06/12/2013","94","Restaurant"
"DAILY GRILL","12050 VENTURA BLVD","STUDIO CITY","91604","06/12/2013","91","Restaurant"
"SAMMY'S WOOD FIRED  PIZZA &GRI;","12050 VENTURA BLVD A201","STUDIO CITY","91604","06/12/2013","91","Restaurant"
"TAY HO RESTAURANT","1039 E VALLEY BLVD B103","SAN GABRIEL","91776","06/12/2013","90","Restaurant"
"FOXY'S RESTAURANT","206 W COLORADO ST","GLENDALE","91204","06/12/2013","91","Restaurant"
"ARCHRIST BAKERY","452 W STOCKER ST # D","GLENDALE","91202","06/12/2013","90","Restaurant"
"MOFFETT'S CHICKEN PIE SHOPPE","1409 S BALDWIN AVE","ARCADIA","91007","06/12/2013","94","Restaurant"
"JOHNNY ROCKETS","1000 UNIVERSAL STUDIOS BLVD 130","UNIVERSAL CITY","91608","06/12/2013","94","Restaurant"
"TONY ROMAS","1000 UNIVERSAL STUDIOS BLVD #12","UNIVERSAL CITY","91608","06/12/2013","94","Restaurant"
"REG. BEV. WILSHIRE BANQT KITCH","9500 WILSHIRE BLVD","BEVERLY HILLS","90212","06/12/2013","92","Restaurant"
"RALPH'S BAKERY PREP-2ND FL#55","521 FOOTHILL BLVD","LA CANADA FLINTRIDGE","91011","06/12/2013","94","Restaurant"
"TUSQUELLAS FISH & OYSTER","6333 W 3RD ST #436","LOS ANGELES","90036","06/12/2013","92","Restaurant"
"CALIFORNIA CANTEEN RESTAURANT","3311 W CAHUENGA BLVD","LOS ANGELES","91608","06/12/2013","92","Restaurant"
"GOLDEN SOUP RESTAURANT","1039 E VALLEY BLVD B201","SAN GABRIEL","91776","06/12/2013","97","Restaurant"
"BLUDSO'S BBQ","609-611 N LA BREA AVE","LOS ANGELES","90036","06/12/2013","96","Restaurant"
